batch_size,64,128,256,384,512,768,1024
8,0.9,2.10,4.45,7.59,10.80,18.93,27.84
8,1.09,2.23,4.64,8.88,13.77,25.82,39.27
16,1.76,3.76,8.79,15.06,21.50,37.40,55.82
16,1.75,3.88,9.61,18.56,27.43,51.16,79.45
