iteration,round_1,round_2,round_3,round_4,round_5
1,140.079,145.312,139.62,141.102,139.982
2,140.079,140.032,139.62,140.557,139.982
3,140.079,139.456,139.572,140.143,139.429
4,139.707,139.456,139.415,140.059,139.429
5,139.707,139.305,139.415,140.059,139.429
6,139.511,139.305,139.144,139.947,139.429
7,139.511,139.305,139.144,139.947,139.425
8,139.511,139.305,139.144,139.947,139.425
9,139.511,139.305,139.144,139.947,139.425
10,139.428,139.305,139.144,139.947,139.425
11,139.428,139.305,139.144,139.947,139.425
12,139.428,139.305,139.144,139.947,139.425
13,139.428,139.305,139.144,139.947,139.018
14,139.428,139.305,139.144,139.947,138.809
15,139.428,139.305,139.144,139.947,138.809
16,139.428,139.305,139.144,139.947,138.809
17,139.428,139.305,139.144,139.937,138.809
18,139.428,139.305,139.144,139.511,138.809
19,139.428,139.305,139.144,139.511,138.809
20,139.428,139.305,139.144,139.511,138.809
21,139.428,139.305,139.144,139.511,138.809
22,139.428,139.305,139.144,139.511,138.809
23,139.428,139.305,139.144,139.055,138.809
24,139.299,139.305,139.144,139.055,138.809
25,139.299,139.305,139.144,139.055,138.809
26,139.299,139.305,139.144,139.055,138.809
27,139.299,139.305,139.144,139.055,138.809
28,139.299,139.157,139.144,139.055,138.809
29,139.299,139.157,139.144,139.055,138.809
30,139.299,139.157,139.144,139.055,138.809
31,139.299,139.157,139.144,139.055,138.809
32,139.299,139.157,139.144,139.055,138.809
33,139.299,139.157,139.144,139.055,138.809
34,139.299,139.157,139.144,139.055,138.809
35,139.299,139.157,139.144,139.055,138.809
36,139.299,139.157,139.144,139.055,138.809
37,139.299,139.157,139.144,139.055,138.809
38,139.299,139.131,139.144,139.055,138.809
39,139.299,139.102,139.144,139.055,138.809
40,139.299,139.102,139.144,139.055,138.809
41,139.299,139.102,139.144,139.055,138.809
42,139.299,139.102,139.144,139.052,138.809
43,139.299,139.102,139.144,139.052,138.809
44,139.299,139.102,139.144,139.052,138.809
45,139.299,139.102,139.144,139.052,138.809
46,139.299,139.102,139.144,139.052,138.809
47,139.299,139.102,139.144,139.052,138.809
48,139.299,139.102,139.144,139.052,138.809
49,139.299,139.102,139.144,139.052,138.809
50,139.299,139.102,139.144,139.052,138.809
51,139.299,139.102,139.144,139.052,138.809
52,139.299,139.102,139.144,139.052,138.809
53,139.299,139.102,138.997,139.052,138.809
54,139.299,139.102,138.997,139.052,138.809
55,139.299,139.102,138.997,138.955,138.809
56,139.299,139.102,138.997,138.955,138.809
57,139.299,139.102,138.997,138.955,138.809
58,139.299,138.786,138.997,138.955,138.809
59,139.299,138.786,138.997,138.955,138.809
60,139.299,138.786,138.997,138.955,138.809
61,139.299,138.786,138.997,138.955,138.809
62,139.299,138.786,138.997,138.955,138.809
63,139.299,138.786,138.997,138.955,138.809
64,139.299,138.786,138.997,138.955,138.809
65,139.299,138.786,138.997,138.955,138.809
66,139.299,138.786,138.997,138.955,138.809
67,139.299,138.786,138.997,138.955,138.809
68,139.299,138.786,138.997,138.955,138.809
69,139.299,138.786,138.997,138.955,138.809
70,139.299,138.786,138.997,138.955,138.809
71,139.299,138.786,138.997,138.955,138.809
72,139.299,138.786,138.997,138.955,138.809
73,139.299,138.786,138.997,138.955,138.809
74,139.299,138.786,138.997,138.955,138.809
75,139.299,138.786,138.997,111.333,138.809
76,139.299,138.786,138.997,111.333,138.809
77,139.299,138.786,138.997,111.333,138.809
78,139.037,138.786,138.997,111.333,138.809
79,139.037,138.786,138.997,111.333,138.809
80,139.037,138.786,138.997,111.333,138.809
81,139.037,138.786,138.997,111.333,138.809
82,139.037,138.786,138.997,111.333,138.809
83,139.037,138.786,138.997,111.333,138.809
84,139.037,138.786,138.997,111.333,138.809
85,139.037,138.786,138.997,111.333,138.809
86,139.037,138.786,138.997,111.333,138.809
87,139.037,138.786,138.997,111.333,138.809
88,139.037,138.786,138.997,111.333,138.809
89,139.037,138.786,138.997,111.333,138.809
90,139.037,138.786,138.997,111.333,138.809
91,139.037,138.786,138.997,111.333,138.809
92,139.037,138.786,138.997,111.333,138.809
93,139.037,138.786,138.997,111.333,138.809
94,139.037,138.786,138.997,111.333,138.809
95,139.037,138.786,138.997,111.333,138.809
96,139.037,138.786,138.997,111.333,138.809
97,139.037,138.786,116.501,111.333,138.809
98,139.037,138.786,116.501,111.333,138.809
99,139.037,138.786,116.501,111.333,138.809
100,139.037,138.786,116.501,111.333,138.809
101,117.487,138.786,116.501,111.333,138.809
102,111.167,138.786,116.501,111.333,138.809
103,111.167,138.786,116.501,111.333,138.809
104,111.167,138.786,116.501,111.333,138.809
105,111.167,138.786,116.501,111.333,138.809
106,111.167,138.786,116.501,111.333,138.809
107,111.167,138.786,116.501,111.333,138.809
108,111.167,138.786,116.501,111.333,138.809
109,111.167,138.786,116.501,111.333,138.809
110,111.167,138.786,116.501,111.333,138.809
111,111.167,138.786,116.501,111.333,138.809
112,111.167,138.786,116.501,111.333,138.809
113,111.167,138.786,116.501,111.333,138.809
114,111.167,138.786,116.501,111.333,138.809
115,111.167,138.786,116.501,111.333,138.809
116,111.167,138.786,116.501,111.333,138.809
117,111.167,138.786,116.501,111.333,138.809
118,111.167,138.786,116.501,111.333,138.809
119,111.167,138.786,116.501,111.333,138.809
120,111.167,138.786,116.501,111.333,138.809
121,111.167,138.786,116.501,111.333,138.809
122,111.167,138.786,116.501,111.333,138.809
123,111.167,138.786,116.501,111.333,138.809
124,111.167,138.786,116.501,111.333,138.809
125,111.167,138.786,116.501,111.333,138.809
126,111.167,138.786,116.501,111.333,138.809
127,111.167,138.786,116.501,111.333,138.809
128,111.167,138.786,116.501,111.333,138.809
