iteration,round_1,round_2,round_3,round_4,round_5
1,11.91,11.762,11.775,12.412,12.636
2,11.91,11.762,11.775,11.508,12.342
3,11.91,11.762,11.775,11.508,12.342
4,11.91,11.762,11.775,11.508,12.342
5,11.818,11.762,11.775,11.508,11.914
6,11.818,11.762,11.775,11.508,11.914
7,11.818,11.334,11.775,11.508,11.914
8,11.818,11.334,11.775,11.508,11.91
9,11.68,11.334,11.241,11.508,11.788
10,11.68,11.334,11.241,11.508,11.788
11,11.68,11.334,11.241,11.508,11.788
12,11.68,11.334,11.241,11.508,11.788
13,11.146,11.334,11.241,11.508,11.788
14,11.146,11.334,11.241,11.508,11.788
15,11.146,11.334,11.241,11.391,11.788
16,11.146,11.334,11.241,11.391,11.788
17,11.146,11.334,11.241,11.391,11.788
18,11.146,11.334,11.241,11.391,11.788
19,11.146,11.334,11.241,11.391,11.788
20,11.146,11.334,11.241,11.391,11.788
21,11.146,11.334,11.241,11.391,11.788
22,11.146,11.334,11.241,11.391,11.788
23,11.146,11.334,11.241,11.391,11.788
24,11.146,11.334,11.241,11.391,11.788
25,11.146,11.334,11.241,11.391,11.788
26,11.146,11.334,11.241,11.391,11.788
27,11.146,11.334,11.241,11.391,11.788
28,11.146,11.334,11.241,11.391,11.788
29,11.146,11.334,11.241,11.391,11.788
30,11.146,11.334,11.241,11.391,11.788
31,11.146,11.334,11.241,11.391,11.788
32,11.146,11.334,11.241,11.391,11.788
33,11.146,11.334,11.241,11.391,11.788
34,11.146,11.334,11.241,11.391,11.788
35,11.146,11.334,11.241,11.391,11.777
36,11.146,11.334,11.241,11.391,11.777
37,11.146,11.334,11.241,11.391,11.742
38,11.146,11.334,11.241,11.391,11.742
39,11.146,11.334,11.241,11.391,11.742
40,11.146,11.334,11.241,11.391,11.742
41,11.146,11.334,11.241,11.391,11.742
42,11.146,11.334,11.241,11.391,11.742
43,11.146,11.334,11.241,11.391,11.742
44,11.146,11.334,11.241,11.391,11.742
45,11.146,11.334,11.241,11.391,11.742
46,11.146,11.334,11.241,11.391,11.742
47,11.146,11.334,11.241,11.391,11.742
48,11.146,11.334,11.241,11.391,11.742
49,11.146,11.334,11.241,11.391,11.742
50,11.146,11.334,11.241,11.391,11.742
51,11.146,11.334,11.241,11.391,11.742
52,11.146,11.334,11.241,11.391,11.742
