iteration,round_1,round_2,round_3,round_4,round_5
1,54.678,54.722,54.991,54.324,54.446
2,54.678,54.27,54.991,54.143,54.446
3,54.678,54.27,54.991,54.143,54.446
4,54.678,54.27,54.991,54.143,54.446
5,54.678,54.27,54.991,54.143,54.446
6,54.678,54.26,54.491,54.143,54.446
7,54.678,54.26,54.491,54.143,54.446
8,54.678,54.26,54.241,54.056,54.446
9,54.678,54.26,54.241,54.056,54.446
10,54.678,54.26,54.241,54.056,54.446
11,54.678,54.26,54.241,54.056,54.289
12,54.209,54.26,54.241,54.056,54.289
13,54.209,54.257,54.241,54.056,54.289
14,54.209,54.257,54.241,54.056,54.289
15,54.146,54.257,54.241,54.056,50.796
16,54.146,54.257,54.241,54.056,47.673
17,54.146,54.257,54.241,54.056,47.673
18,54.146,54.257,54.241,54.056,47.673
19,54.146,54.257,54.241,54.056,47.673
20,54.146,54.257,54.241,54.056,47.673
21,54.146,54.257,47.876,54.056,47.673
22,54.146,54.257,47.876,54.056,47.673
23,54.146,54.257,47.876,54.056,47.673
24,54.146,54.257,47.876,54.056,47.673
25,54.146,54.257,47.876,54.056,47.673
26,54.146,54.189,47.876,54.056,47.673
27,54.146,54.189,47.876,54.056,47.673
28,54.146,54.189,47.876,54.056,47.673
29,54.146,54.189,47.876,54.056,47.673
30,54.146,54.189,47.876,54.056,47.673
31,54.146,54.189,47.876,54.056,47.673
32,54.146,54.189,47.876,54.056,47.673
33,54.146,54.189,47.876,54.056,47.673
34,54.146,54.189,47.876,54.056,47.673
35,54.146,54.189,47.876,54.056,47.673
36,54.146,54.189,47.876,54.056,47.673
37,54.146,54.189,47.876,54.056,47.673
38,54.146,54.189,47.876,54.056,47.673
39,54.146,54.189,47.876,54.056,47.673
40,50.547,54.189,47.876,54.056,47.673
41,48.064,54.189,47.876,54.056,47.673
42,48.064,54.189,47.876,54.056,47.673
43,48.064,54.089,47.876,54.056,47.673
44,48.064,54.089,47.876,54.056,47.673
45,48.064,54.089,47.876,54.056,47.673
46,48.064,54.089,47.876,54.056,47.673
47,48.064,54.089,47.876,54.056,47.673
48,48.064,54.089,47.876,54.056,47.673
49,48.064,54.057,47.876,54.056,47.673
50,48.064,54.057,47.876,54.056,47.673
51,48.064,54.057,47.876,54.056,47.673
52,48.064,54.057,47.876,54.056,47.673
53,48.064,54.057,47.876,54.056,47.673
54,48.064,54.057,47.876,54.056,47.673
55,48.064,54.057,47.876,54.056,47.673
56,48.064,54.057,47.876,54.056,47.673
57,48.064,54.057,47.876,54.056,47.673
58,48.064,54.057,47.876,54.056,47.673
59,48.064,54.057,47.876,54.056,47.673
60,48.064,54.057,47.876,54.056,47.673
61,48.064,54.057,47.876,54.056,47.673
62,48.064,54.057,47.876,54.056,47.673
63,48.064,54.057,47.876,54.056,47.673
64,48.064,54.057,47.876,54.056,47.673
65,48.064,54.057,47.876,54.056,47.673
66,48.064,54.057,47.876,54.056,47.673
67,48.064,54.057,47.876,54.056,47.673
68,48.064,54.057,47.876,54.056,47.673
69,48.064,54.057,47.876,54.056,47.673
70,48.064,54.057,47.876,54.056,47.673
71,48.064,54.057,47.876,54.056,47.673
72,48.064,54.057,47.876,54.056,47.673
73,48.064,54.057,47.876,54.056,47.673
74,48.064,54.057,47.876,54.056,47.673
75,48.064,54.057,47.876,54.056,47.673
76,48.064,54.057,47.876,54.056,47.673
77,48.064,54.057,47.876,54.056,47.673
78,48.064,48.129,47.876,54.056,47.673
79,48.064,48.075,47.876,54.056,47.673
80,48.064,48.055,47.876,54.056,47.673
81,48.064,48.055,47.876,54.056,47.673
82,48.064,48.055,47.876,54.056,47.673
83,48.064,48.055,47.876,54.056,47.673
84,48.064,48.055,47.876,54.056,47.673
85,48.064,48.055,47.876,54.056,47.673
86,48.064,47.873,47.876,54.056,47.673
87,48.064,47.873,47.876,54.056,47.673
88,48.064,47.873,47.876,54.056,47.673
89,48.064,47.873,47.876,54.056,47.673
90,48.064,47.873,47.876,54.056,47.673
91,48.064,47.873,47.876,54.056,47.673
92,48.064,47.873,47.876,54.056,47.673
93,48.064,47.873,47.876,54.056,47.673
94,48.064,47.873,47.876,54.056,47.673
95,48.064,47.873,47.876,54.056,47.673
96,48.064,47.873,47.876,54.056,47.673
97,48.064,47.873,47.876,54.056,47.673
98,48.064,47.873,47.876,54.056,47.673
99,48.064,47.873,47.876,54.049,47.673
100,48.064,47.873,47.876,54.049,47.673
101,48.064,47.873,47.876,54.049,47.673
102,48.064,47.873,47.876,54.049,47.673
103,48.064,47.873,47.876,54.049,47.673
104,48.064,47.873,47.876,54.049,47.673
105,48.064,47.873,47.876,54.049,47.673
106,48.064,47.873,47.876,54.049,47.673
107,48.064,47.873,47.876,54.049,47.673
108,48.064,47.873,47.876,54.049,47.673
109,48.064,47.873,47.876,54.049,47.673
110,48.064,47.873,47.876,54.049,47.673
111,48.064,47.873,47.876,54.049,47.673
112,48.064,47.873,47.876,54.049,47.673
113,48.064,47.873,47.876,54.049,47.673
114,48.064,47.873,47.876,54.049,47.673
115,48.064,47.873,47.876,54.049,47.673
116,48.064,47.873,47.876,54.049,47.673
117,48.064,47.873,47.876,54.049,47.673
118,48.064,47.873,47.876,54.049,47.673
119,48.064,47.873,47.876,54.049,47.673
120,48.064,47.873,47.876,54.049,47.673
121,48.064,47.873,47.876,54.049,47.673
122,48.064,47.873,47.876,54.049,47.673
123,48.064,47.873,47.876,54.049,47.673
124,48.064,47.873,47.876,54.049,47.673
125,48.064,47.873,47.876,54.049,47.673
126,48.064,47.873,47.876,47.82,47.673
127,48.064,47.873,47.876,47.82,47.673
128,48.064,47.873,47.876,47.82,47.673
