iteration,round_1,round_2,round_3,round_4,round_5
1,11.344,11.357,12.078,11.606,12.114
2,11.344,11.357,11.957,11.606,12.114
3,11.344,11.357,11.919,11.606,12.114
4,11.344,11.357,11.919,11.606,11.852
5,11.344,11.357,11.8,11.606,11.84
6,11.344,11.357,11.769,11.606,11.84
7,11.344,11.357,11.769,11.606,11.84
8,11.344,11.336,11.769,11.563,11.84
9,11.344,11.336,11.76,11.563,11.84
10,11.344,11.336,11.76,11.563,11.84
11,11.344,11.336,11.265,11.563,11.84
12,11.344,11.336,11.265,11.563,11.84
13,11.344,11.336,11.265,11.563,11.84
14,11.344,11.336,11.265,11.563,11.751
15,11.344,11.336,11.265,11.563,11.357
16,11.344,11.336,11.265,11.563,11.357
17,11.344,11.336,11.265,11.563,11.277
18,11.211,11.336,11.265,11.563,11.277
19,11.211,11.336,11.265,11.563,11.277
20,11.211,11.336,11.265,11.563,11.277
21,11.211,11.336,11.265,11.563,11.277
22,11.211,11.246,11.265,11.563,11.277
23,11.211,11.246,11.265,11.563,11.277
24,11.211,11.246,11.265,11.563,11.277
25,11.211,11.246,11.265,11.563,11.277
26,11.211,11.246,11.265,11.563,11.277
27,11.211,11.246,11.265,11.563,11.277
28,11.211,11.246,11.265,11.563,11.277
29,11.211,11.246,11.265,11.563,11.277
30,11.211,11.246,11.265,11.563,11.277
31,11.211,11.246,11.265,11.328,11.277
32,11.211,11.246,11.265,11.328,11.277
33,11.211,11.246,11.265,11.328,11.277
34,11.211,11.246,11.265,11.328,11.277
35,11.211,11.246,11.265,11.328,11.277
36,11.211,11.246,11.265,11.328,11.277
37,11.211,11.246,11.265,11.328,11.277
38,11.211,11.246,11.265,11.328,11.277
39,11.211,11.246,11.265,11.328,11.277
40,11.211,11.246,11.265,11.328,11.277
41,11.211,11.246,11.265,11.328,11.277
42,11.211,11.246,11.265,11.328,11.277
43,11.211,11.246,11.265,11.328,11.277
44,11.211,11.246,11.265,11.328,11.277
45,11.211,11.246,11.265,11.328,11.277
46,11.211,11.246,11.265,11.328,11.277
47,11.211,11.246,11.265,11.328,11.277
48,11.211,11.246,11.265,11.328,11.277
49,11.211,11.246,11.265,11.328,11.277
50,11.211,11.246,11.265,11.328,11.277
51,11.211,11.246,11.265,11.328,11.277
52,11.211,11.246,11.265,11.328,11.277
53,11.211,11.246,11.265,11.273,11.277
54,11.211,11.246,11.265,11.273,11.277
55,11.211,11.246,11.265,11.273,11.277
56,11.211,11.246,11.265,11.273,11.277
57,11.211,11.246,11.265,11.273,11.277
58,11.211,11.246,11.265,11.273,11.277
59,11.211,11.246,11.265,11.273,11.277
60,11.211,11.246,11.265,11.273,11.277
61,11.211,11.246,11.265,11.273,11.277
62,11.211,11.246,11.265,11.273,11.277
63,11.211,11.246,11.265,11.273,11.277
64,11.211,11.246,11.265,11.273,11.277
65,11.211,11.246,11.265,11.273,11.277
66,11.211,11.246,11.265,11.273,11.277
67,11.211,11.246,11.265,11.273,11.277
68,11.211,11.246,11.265,11.273,11.277
69,11.211,11.246,11.265,11.273,11.277
70,11.211,11.246,11.265,11.273,11.277
71,11.211,11.246,11.265,11.273,11.277
72,11.211,11.246,11.265,11.273,11.277
73,11.211,11.246,11.265,11.273,11.277
74,11.211,11.246,11.265,11.273,11.277
75,11.211,11.246,11.265,11.273,11.277
76,11.211,11.246,11.265,11.273,11.277
77,11.211,11.246,11.265,11.273,11.277
78,11.211,11.246,11.265,11.273,11.277
79,11.211,11.246,11.265,11.273,11.277
80,11.211,11.246,11.265,11.273,11.277
81,11.211,11.246,11.265,11.273,11.277
