iteration,round_1,round_2,round_3,round_4,round_5
1,111.496,110.639,110.983,110.951,111.722
2,111.496,110.639,110.983,110.899,111.311
3,111.496,110.639,110.983,110.834,110.92
4,111.496,110.639,110.983,110.834,110.92
5,111.496,110.639,110.983,110.834,110.92
6,111.496,110.639,110.983,110.834,110.92
7,111.496,110.639,110.983,110.834,110.92
8,111.496,110.639,110.983,110.834,110.92
9,111.496,110.639,110.983,110.834,110.92
10,111.496,110.639,110.983,110.834,110.92
11,111.232,110.639,110.983,110.834,110.92
12,110.563,110.639,110.983,110.831,110.545
13,110.563,110.639,110.983,110.831,110.545
14,110.563,110.639,110.983,110.831,110.545
15,110.563,110.639,110.983,110.831,110.545
16,110.563,110.639,110.983,110.831,110.545
17,110.563,110.639,110.983,110.831,110.545
18,110.563,110.639,110.983,110.831,110.545
19,110.563,110.639,110.983,110.831,110.545
20,110.563,110.639,110.983,110.831,110.545
21,110.563,110.639,110.983,110.831,110.545
22,110.563,110.639,110.983,110.831,110.545
23,110.563,110.639,110.983,110.831,110.545
24,110.563,110.639,110.983,110.831,110.545
25,110.563,110.639,110.983,110.831,110.545
26,110.563,110.639,110.983,110.831,110.545
27,110.563,110.639,110.983,110.831,110.545
28,110.563,110.639,110.983,110.831,110.545
29,110.563,110.639,110.983,110.831,110.545
30,110.563,110.639,110.983,110.831,110.545
31,110.563,110.639,110.983,110.831,110.545
32,110.563,110.639,110.983,110.831,110.545
33,110.563,110.639,110.983,110.831,110.545
34,110.563,110.639,110.983,110.831,110.545
35,110.563,110.639,110.983,110.831,110.545
36,110.563,110.639,110.983,110.831,110.545
37,110.563,110.639,110.983,110.831,110.545
38,110.563,110.639,110.983,110.831,110.545
39,110.563,110.639,110.983,110.831,110.545
40,110.563,110.639,110.27,110.831,110.545
41,110.563,110.639,110.27,110.831,110.545
42,110.563,110.639,110.27,110.831,110.545
43,110.563,110.639,110.27,110.831,110.545
44,110.563,110.639,110.27,110.831,110.545
45,110.563,110.639,110.27,110.831,110.545
46,110.563,110.639,110.27,110.831,110.545
47,110.563,110.639,110.27,110.831,110.545
48,110.563,110.639,110.27,110.831,110.545
49,110.563,110.639,110.27,110.831,110.545
50,110.563,110.639,110.27,110.831,110.545
51,110.563,110.639,110.27,110.831,110.545
52,110.563,110.639,110.27,110.831,110.545
53,110.563,110.639,110.27,110.831,110.545
54,110.563,110.639,110.27,110.831,110.545
55,110.563,110.639,110.27,110.831,110.545
56,110.563,110.639,110.27,110.831,110.545
57,110.563,110.639,110.27,110.831,110.545
58,110.563,110.639,110.27,110.831,110.545
59,110.563,110.639,110.27,110.831,110.545
60,110.563,110.639,110.27,110.831,110.545
61,110.563,110.639,110.27,110.831,110.545
62,110.563,110.639,110.27,110.831,110.545
63,110.563,110.639,110.27,110.831,110.545
64,110.512,110.639,110.27,110.831,110.545
65,110.512,110.639,110.27,110.831,110.545
66,110.512,110.639,110.27,110.831,110.395
67,110.512,110.639,110.27,110.831,110.395
68,110.512,110.639,110.27,110.831,110.395
69,110.512,110.639,110.27,110.831,110.395
70,110.512,110.639,110.27,110.831,110.395
71,110.512,110.639,110.27,110.831,110.395
72,110.512,110.639,110.27,110.831,110.395
73,110.512,110.639,110.27,110.831,110.395
74,110.512,110.639,110.27,110.831,110.395
75,110.512,110.639,110.27,110.831,110.395
76,110.512,110.639,110.27,110.831,110.395
77,110.512,110.639,110.27,110.831,110.395
78,110.512,110.639,110.27,110.831,110.395
79,110.512,110.639,110.27,110.831,110.395
80,110.512,110.639,110.27,110.831,110.395
81,110.512,110.639,110.27,110.831,110.395
82,110.512,110.639,110.27,110.831,110.395
83,110.512,110.639,110.27,110.831,110.395
84,110.512,110.639,110.27,110.831,110.395
85,110.512,110.639,110.27,110.831,110.395
86,110.512,110.639,110.27,110.831,110.395
87,110.512,110.639,110.27,110.831,110.395
88,110.512,110.639,110.27,110.831,110.395
89,110.512,110.639,110.27,110.831,110.395
90,110.512,110.639,110.27,110.831,110.395
91,110.512,110.639,110.27,110.831,110.395
92,110.512,110.639,110.27,110.831,110.395
93,110.512,110.639,110.27,110.831,110.395
94,110.512,110.639,110.27,110.831,110.395
95,110.512,110.639,110.27,110.831,110.395
96,110.512,110.639,110.27,110.831,110.395
97,110.512,110.639,110.27,110.831,110.395
98,110.512,110.639,110.27,110.831,110.395
99,110.512,110.639,110.27,110.831,110.395
100,110.512,110.639,110.27,110.831,110.395
101,110.512,110.639,110.27,110.831,110.395
102,110.512,110.639,110.27,110.831,110.395
103,110.512,110.639,110.27,110.831,110.395
104,110.512,110.639,110.27,110.831,110.395
105,110.512,110.639,110.27,110.831,110.395
106,110.512,110.639,110.27,110.831,110.395
107,110.512,110.639,110.27,110.831,110.395
108,110.512,110.639,110.27,110.831,110.395
109,110.512,110.639,110.27,110.831,110.395
110,110.512,110.639,110.27,110.831,110.395
111,110.512,110.639,110.27,110.831,110.395
112,110.512,110.639,110.27,110.831,110.395
113,110.512,110.639,110.27,110.831,110.395
114,110.512,110.639,110.27,110.831,110.395
115,110.512,110.639,110.27,110.831,110.395
116,110.512,110.639,110.27,110.831,110.395
117,110.512,110.639,110.27,110.831,110.395
118,110.512,110.639,110.27,110.831,110.395
119,110.512,110.639,110.27,110.831,110.395
120,110.512,110.639,110.27,110.831,110.395
121,110.512,110.639,110.27,110.831,110.395
122,110.512,110.639,110.27,110.831,110.395
123,110.512,110.639,110.27,110.831,110.395
124,110.512,110.639,110.27,110.831,110.395
125,110.512,110.639,110.27,110.831,110.395
126,110.512,110.639,110.27,110.831,110.395
127,110.512,110.639,110.27,110.831,110.395
128,110.512,110.639,110.27,110.831,110.395
