iteration,round_1,round_2,round_3,round_4,round_5
1,11.963,12.153,11.539,11.5,12.026
2,11.755,11.384,11.539,11.5,12.026
3,11.755,11.384,11.539,11.214,12.026
4,11.315,11.242,11.539,11.214,11.871
5,11.315,11.242,11.539,11.214,11.871
6,11.315,11.242,11.539,11.214,11.871
7,11.315,11.242,11.539,11.214,11.854
8,11.315,11.242,11.539,11.214,11.854
9,11.2,11.242,11.539,11.214,11.854
10,11.2,11.242,11.539,11.214,11.777
11,11.2,11.242,11.539,11.214,11.777
12,11.2,11.242,11.539,11.214,11.73
13,11.2,11.242,11.539,11.214,11.73
14,11.2,11.242,11.539,11.214,11.669
15,11.2,11.242,11.539,11.214,11.669
16,11.2,11.242,11.223,11.214,11.669
17,11.2,11.242,11.223,11.214,11.669
18,11.2,11.242,11.223,11.214,11.669
19,11.2,11.21,11.223,11.21,11.669
20,11.2,11.21,11.216,11.21,11.669
21,11.2,11.21,11.216,11.21,11.283
22,11.2,11.21,11.216,11.21,11.283
23,11.2,11.21,11.216,11.21,11.283
24,11.2,11.21,11.216,11.21,11.283
25,11.2,11.21,11.216,11.21,11.283
26,11.2,11.21,11.216,11.21,11.283
27,11.2,11.21,11.216,11.21,11.283
28,11.2,11.21,11.216,11.21,11.267
29,11.2,11.21,11.216,11.21,11.267
30,11.2,11.21,11.216,11.21,11.267
31,11.2,11.21,11.216,11.21,11.267
32,11.2,11.21,11.216,11.21,11.267
33,11.2,11.21,11.216,11.21,11.235
34,11.2,11.21,11.216,11.21,11.235
35,11.2,11.21,11.216,11.21,11.235
36,11.2,11.21,11.216,11.21,11.235
37,11.2,11.21,11.216,11.21,11.235
38,11.2,11.21,11.216,11.21,11.235
39,11.2,11.21,11.216,11.21,11.235
40,11.2,11.21,11.216,11.21,11.235
41,11.2,11.21,11.216,11.21,11.235
42,11.2,11.21,11.216,11.21,11.235
43,11.2,11.21,11.216,11.21,11.235
44,11.2,11.21,11.216,11.125,11.235
45,11.2,11.21,11.216,11.125,11.235
46,11.2,11.21,11.216,11.125,11.235
47,11.2,11.21,11.216,11.125,11.235
48,11.2,11.21,11.216,11.125,11.235
49,11.2,11.21,11.216,11.125,11.235
50,11.2,11.21,11.216,11.125,11.235
51,11.2,11.21,11.216,11.125,11.235
52,11.2,11.21,11.216,11.125,11.235
53,11.2,11.21,11.216,11.125,11.235
54,11.2,11.21,11.216,11.125,11.235
55,11.2,11.21,11.216,11.125,11.235
56,11.2,11.21,11.215,11.125,11.235
57,11.2,11.21,11.215,11.125,11.235
58,11.2,11.21,11.215,11.125,11.235
59,11.2,11.21,11.215,11.125,11.235
60,11.2,11.21,11.215,11.125,11.235
61,11.2,11.21,11.215,11.125,11.235
62,11.2,11.21,11.215,11.125,11.235
63,11.2,11.21,11.215,11.125,11.196
64,11.2,11.21,11.215,11.125,11.196
65,11.2,11.21,11.215,11.125,11.196
66,11.2,11.21,11.215,11.125,11.196
67,11.2,11.21,11.215,11.125,11.196
68,11.2,11.21,11.215,11.125,11.196
69,11.2,11.21,11.215,11.125,11.196
70,11.2,11.21,11.215,11.125,11.196
71,11.2,11.21,11.215,11.125,11.196
72,11.2,11.21,11.215,11.125,11.196
73,11.2,11.21,11.215,11.125,11.196
74,11.2,11.21,11.215,11.125,11.196
75,11.2,11.21,11.215,11.125,11.196
76,11.2,11.21,11.215,11.125,11.196
77,11.2,11.168,11.215,11.125,11.196
78,11.2,11.168,11.215,11.125,11.196
79,11.2,11.168,11.215,11.125,11.196
80,11.2,11.168,11.215,11.125,11.196
81,11.2,11.168,11.215,11.125,11.196
82,11.2,11.168,11.215,11.125,11.196
83,11.2,11.168,11.215,11.125,11.196
84,11.2,11.168,11.215,11.125,11.196
85,11.2,11.168,11.215,11.125,11.196
86,11.2,11.168,11.215,11.125,11.196
87,11.2,11.168,11.215,11.125,11.196
88,11.2,11.168,11.215,11.125,11.196
89,11.2,11.168,11.215,11.125,11.196
90,11.2,11.168,11.215,11.125,11.196
91,11.2,11.168,11.215,11.125,11.196
92,11.2,11.168,11.215,11.125,11.196
93,11.2,11.168,11.215,11.125,11.196
94,11.2,11.168,11.215,11.125,11.196
95,11.2,11.168,11.215,11.125,11.196
96,11.2,11.168,11.215,11.125,11.196
97,11.2,11.168,11.215,11.125,11.196
98,11.2,11.168,11.215,11.125,11.196
99,11.2,11.168,11.215,11.125,11.196
100,11.188,11.168,11.215,11.125,11.196
101,11.188,11.168,11.215,11.125,11.196
102,11.188,11.168,11.215,11.125,11.196
103,11.188,11.168,11.215,11.125,11.196
104,11.188,11.168,11.215,11.125,11.196
105,11.188,11.168,11.215,11.125,11.196
106,11.188,11.168,11.215,11.125,11.196
107,11.188,11.168,11.215,11.125,11.196
108,11.188,11.168,11.215,11.125,11.196
109,11.188,11.168,11.215,11.125,11.196
110,11.188,11.168,11.159,11.125,11.196
111,11.188,11.168,11.159,11.125,11.196
112,11.188,11.168,11.159,11.125,11.196
113,11.188,11.168,11.159,11.125,11.196
114,11.188,11.168,11.159,11.125,11.196
115,11.188,11.168,11.159,11.125,11.196
116,11.188,11.168,11.159,11.125,11.196
117,11.188,11.168,11.159,11.125,11.196
118,11.188,11.168,11.159,11.125,11.196
119,11.188,11.168,11.159,11.125,11.196
120,11.188,11.168,11.159,11.125,11.196
121,11.188,11.168,11.159,11.125,11.196
122,11.188,11.168,11.159,11.125,11.196
123,11.188,11.168,11.159,11.125,11.196
124,11.188,11.168,11.159,11.125,11.196
125,11.188,11.168,11.159,11.125,11.196
126,11.188,11.168,11.159,11.125,11.196
127,11.188,11.168,11.159,11.125,11.196
128,11.188,11.168,11.159,11.125,11.196
