iteration,round_1,round_2,round_3,round_4,round_5
1,26.516,26.471,25.547,26.535,25.393
2,25.674,25.775,25.115,25.638,24.241
3,25.674,25.512,25.115,25.406,24.241
4,25.674,25.512,25.115,25.406,24.241
5,24.577,25.295,25.115,25.406,24.241
6,24.577,25.295,25.115,25.406,24.241
7,24.069,25.295,25.115,24.682,24.241
8,24.069,25.295,24.789,24.682,24.241
9,24.069,25.178,24.322,24.682,23.359
10,24.069,25.178,24.322,24.682,23.359
11,24.069,24.412,24.322,24.682,23.359
12,24.069,24.412,24.322,23.681,23.359
13,24.069,23.641,24.322,23.681,23.359
14,24.069,23.641,24.322,23.681,23.359
15,24.069,23.641,23.567,23.681,23.359
16,24.069,23.641,23.567,23.681,23.359
17,24.069,23.641,23.567,23.681,23.359
18,24.069,23.641,23.567,23.681,23.359
19,24.069,23.641,23.567,23.681,23.359
20,23.632,23.641,23.567,23.681,23.359
21,23.632,23.641,23.567,23.681,23.359
22,23.632,23.641,23.567,23.681,23.359
23,23.632,23.641,23.567,23.681,23.359
24,23.632,23.641,23.567,23.681,23.359
25,23.632,23.641,23.567,23.681,23.359
26,23.632,23.641,23.567,23.681,23.359
27,23.632,23.641,23.567,23.681,23.359
28,23.632,23.641,23.567,23.681,23.359
29,23.632,23.641,23.567,23.681,23.359
30,23.632,23.641,23.567,23.681,23.359
31,23.632,23.641,23.567,23.681,23.359
32,23.632,23.641,23.567,23.681,23.359
33,23.632,23.641,23.567,23.681,23.359
34,23.632,23.641,23.567,23.681,23.359
35,23.632,23.641,23.567,23.681,23.359
36,23.632,23.641,23.567,23.681,23.359
37,23.632,23.641,23.567,23.681,23.359
38,23.632,23.641,23.567,23.681,23.359
39,23.632,23.641,23.567,23.681,23.359
40,23.632,23.641,23.567,23.539,23.359
41,23.632,23.641,23.567,23.539,23.359
42,23.632,23.641,23.567,23.539,23.359
43,23.632,23.641,23.567,23.539,23.359
44,23.632,23.641,23.567,23.539,23.359
45,23.632,23.641,23.567,23.539,23.359
46,23.632,23.641,23.567,23.539,23.359
47,23.632,23.641,23.567,23.539,23.359
48,23.632,23.641,23.567,23.539,23.359
49,23.632,23.641,23.567,23.539,23.359
50,23.632,23.641,23.567,23.539,23.359
51,23.632,23.641,23.567,23.539,23.359
52,23.632,23.641,23.567,23.539,23.359
53,23.632,23.641,23.567,23.539,23.359
54,23.632,23.641,23.567,23.539,23.359
55,23.632,23.641,23.567,23.539,23.359
56,23.632,23.641,23.567,23.539,23.359
57,23.632,23.641,23.567,23.539,23.359
58,23.632,23.641,23.567,23.539,23.359
59,23.632,23.641,23.567,23.539,23.359
60,23.632,23.641,23.567,23.539,23.359
61,23.632,23.641,23.567,23.539,23.359
62,23.632,23.641,23.567,23.539,23.359
63,23.632,23.641,23.567,23.539,23.359
64,23.632,23.641,23.567,23.539,23.359
65,23.632,23.641,23.567,23.539,23.359
66,23.632,23.641,23.567,23.539,23.359
67,23.632,23.641,23.567,23.418,23.359
68,23.632,23.641,23.567,23.418,23.359
69,23.632,23.557,23.567,23.418,23.359
70,23.632,23.557,23.567,23.418,23.359
71,23.632,23.557,23.567,23.418,23.359
