iteration,round_1,round_2,round_3,round_4,round_5
1,57.174,54.448,56.831,57.438,54.145
2,57.174,54.208,56.831,57.438,54.145
3,57.174,54.208,56.831,57.071,54.145
4,56.963,54.208,56.831,57.071,54.145
5,56.681,54.208,56.831,57.071,54.145
6,54.434,54.208,56.831,57.071,54.145
7,54.284,54.208,56.831,57.071,54.145
8,54.284,54.208,56.831,57.061,54.145
9,54.284,54.208,55.126,56.981,54.145
10,54.284,54.208,55.115,56.981,54.145
11,54.284,54.208,55.065,56.981,54.145
12,54.248,54.145,54.79,56.981,54.145
13,54.248,54.145,54.79,54.573,54.145
14,54.248,54.145,54.79,54.486,54.145
15,54.248,54.145,54.79,54.406,47.097
16,54.248,54.145,54.79,54.392,47.097
17,54.248,54.145,54.784,54.392,47.097
18,54.248,54.145,54.784,54.392,47.097
19,54.248,54.145,54.784,54.392,47.097
20,54.248,54.145,54.783,54.392,47.097
21,54.248,54.145,54.54,54.392,47.097
22,54.248,54.065,54.54,54.392,47.097
23,54.248,54.065,54.457,54.392,47.097
24,54.248,53.879,54.424,54.392,47.097
25,54.248,53.879,54.424,54.392,47.097
26,54.248,53.879,54.421,54.392,47.097
27,54.248,53.879,54.421,54.392,47.097
28,54.248,53.879,54.249,54.392,47.097
29,54.248,53.879,54.249,54.392,47.097
30,54.248,53.879,54.249,54.392,47.097
31,54.248,53.879,54.249,54.392,47.097
32,54.248,53.879,54.249,54.392,47.097
33,54.248,53.879,54.249,54.392,47.097
34,54.248,53.879,54.11,54.392,47.097
35,54.248,53.879,54.11,54.357,47.097
36,54.248,53.879,54.11,54.3,47.097
37,54.248,53.879,54.11,54.3,47.097
38,54.248,53.879,54.11,54.3,47.097
39,54.248,53.879,54.11,54.3,47.097
40,54.248,53.879,54.11,54.3,47.097
41,54.248,53.879,54.11,54.3,47.097
42,54.248,53.879,54.11,54.3,47.097
43,54.248,53.879,54.11,54.3,47.097
44,54.248,53.879,54.11,54.3,47.097
45,54.248,53.879,54.11,54.279,47.097
46,54.248,53.879,54.11,54.15,47.097
