iteration,round_1,round_2,round_3,round_4,round_5
1,25.633,25.505,25.381,25.651,25.546
2,24.745,25.505,24.001,25.651,24.241
3,24.745,25.505,24.001,25.651,24.241
4,24.676,24.513,24.001,24.315,23.929
5,24.676,24.513,23.945,24.057,23.929
6,24.676,23.96,23.945,24.057,23.929
7,24.676,23.96,23.945,24.057,23.929
8,24.676,23.504,23.945,24.057,23.929
9,24.26,23.504,23.945,24.057,23.929
10,24.26,23.504,23.938,24.057,23.929
11,24.26,23.504,23.938,24.057,23.929
12,24.26,23.504,23.938,24.057,23.757
13,24.26,23.504,23.938,24.057,23.757
14,24.26,23.504,23.864,24.057,23.757
15,24.26,23.504,23.835,24.057,23.757
16,24.26,23.504,23.835,24.057,23.757
17,24.26,23.504,23.835,23.75,23.757
18,24.26,23.504,23.835,23.75,23.757
19,24.26,23.504,23.835,23.75,23.757
20,24.26,23.504,23.835,23.75,23.757
21,24.098,23.504,23.835,23.75,23.164
22,24.053,23.504,23.835,23.75,23.164
23,24.053,23.504,23.835,23.75,23.164
24,24.053,23.504,23.835,23.75,23.164
25,24.053,23.504,23.835,23.75,23.164
26,24.053,23.504,23.658,23.75,23.164
27,24.053,23.504,23.658,23.75,23.164
28,24.053,23.504,23.658,23.673,23.164
29,24.053,23.504,23.658,23.673,23.164
30,24.053,23.504,23.658,23.673,23.164
31,24.053,23.504,23.658,23.673,23.164
32,24.053,23.504,23.658,23.673,23.164
33,24.053,23.504,23.658,23.673,23.164
34,24.053,23.504,23.658,23.673,23.164
35,24.053,23.504,23.658,23.673,23.164
36,24.053,23.504,23.658,23.673,23.164
37,23.179,23.504,23.658,23.673,23.164
38,23.179,23.504,23.414,23.673,23.164
39,23.179,23.504,23.414,23.673,23.164
40,23.179,23.504,23.414,23.673,23.164
41,23.179,23.504,23.414,23.673,23.164
42,23.179,23.504,23.414,23.673,23.164
43,23.179,23.504,23.414,23.673,23.164
44,23.179,23.504,23.414,23.673,23.164
45,23.179,23.504,23.414,23.673,23.164
46,23.179,23.504,23.414,23.673,23.164
47,23.179,23.504,23.414,23.673,23.164
48,23.179,23.504,23.414,23.673,23.164
49,23.179,23.504,23.414,23.673,23.164
50,23.179,23.504,23.414,23.673,22.981
51,23.179,23.504,23.414,23.673,22.981
52,23.179,23.504,23.414,23.673,22.981
53,23.179,23.504,23.414,23.673,22.981
54,23.179,23.504,23.414,23.673,22.981
55,23.179,23.504,23.414,23.673,22.981
56,23.179,23.504,23.414,23.673,22.981
57,23.179,23.504,23.414,23.673,22.981
58,23.179,23.504,23.414,23.673,22.981
59,23.179,23.504,23.414,23.673,22.981
60,23.179,23.504,23.414,23.673,22.981
61,23.179,23.504,23.414,23.673,22.981
62,23.179,23.504,23.414,23.673,22.981
63,23.179,23.504,23.414,23.673,22.981
64,23.179,23.504,23.414,23.673,22.981
65,23.179,23.504,23.414,23.673,22.981
66,23.179,23.504,23.414,23.673,22.981
67,23.179,23.504,23.414,23.673,22.981
68,23.179,23.504,23.414,23.673,22.981
69,23.179,23.504,23.414,23.673,22.981
70,23.179,23.504,23.414,23.673,22.981
71,23.179,23.504,23.414,23.408,22.981
72,23.179,23.504,23.414,23.408,22.981
73,23.179,23.504,23.414,23.408,22.981
74,23.179,23.504,23.414,23.408,22.981
75,23.179,23.504,23.414,23.408,22.981
76,23.179,23.504,23.414,23.408,22.981
77,23.179,23.504,23.414,23.408,22.981
78,23.179,23.504,23.414,23.408,22.981
79,23.179,23.504,23.414,23.408,22.981
80,23.179,23.504,23.414,23.408,22.981
81,23.179,23.504,23.414,23.408,22.981
82,23.179,23.504,23.414,23.408,22.981
83,23.179,23.504,23.414,23.408,22.981
84,23.179,23.504,23.414,23.408,22.981
85,23.179,23.504,23.414,23.408,22.981
86,23.179,23.504,23.414,23.408,22.981
87,23.179,23.504,23.414,23.408,22.981
88,23.179,23.504,23.414,23.408,22.981
89,23.179,23.504,23.414,23.408,22.981
90,23.179,23.504,23.414,23.408,22.981
91,23.179,23.504,23.414,23.408,22.981
92,23.179,23.504,23.414,23.408,22.981
93,23.179,23.49,23.414,23.408,22.981
94,23.179,23.49,23.414,23.408,22.981
95,23.179,23.49,23.414,23.408,22.981
96,23.179,23.49,23.414,23.408,22.981
97,23.179,23.49,23.414,23.408,22.981
98,23.179,23.49,23.414,23.408,22.981
99,23.179,23.49,23.414,23.408,22.981
100,23.179,23.49,23.414,23.408,22.981
101,23.179,23.49,23.414,23.408,22.981
102,23.179,23.434,23.414,23.408,22.981
103,23.179,23.434,23.414,23.408,22.981
104,23.179,23.434,23.39,23.408,22.981
105,23.179,23.434,23.39,23.408,22.981
106,23.179,23.434,23.39,23.408,22.981
107,23.179,23.434,23.39,23.408,22.981
108,23.179,23.434,23.39,23.408,22.981
109,23.179,23.434,23.39,23.408,22.981
110,23.179,23.434,23.39,23.408,22.981
111,23.179,23.434,23.39,23.408,22.981
112,23.179,23.434,23.39,23.408,22.981
113,23.179,23.434,23.39,23.408,22.981
114,23.179,23.434,23.39,23.408,22.981
115,23.179,23.434,23.39,23.408,22.981
116,23.179,23.434,23.39,23.408,22.981
117,23.179,23.434,23.39,23.408,22.981
118,23.179,23.434,23.39,23.408,22.981
119,23.179,23.434,23.39,23.408,22.981
120,23.179,23.434,23.39,23.408,22.981
121,23.179,23.434,23.39,23.408,22.981
122,23.179,23.434,23.39,23.408,22.981
123,23.179,23.434,23.39,23.408,22.981
124,23.179,23.434,23.39,23.408,22.981
125,23.179,23.434,23.39,23.408,22.981
