iteration,round_1,round_2,round_3,round_4,round_5
1,145.875,139.902,140.492,140.716,140.192
2,145.385,139.902,140.492,140.716,139.571
3,145.385,139.902,139.844,140.716,139.571
4,145.385,139.902,139.844,140.716,139.571
5,145.385,139.311,139.844,140.716,139.571
6,145.385,139.311,139.844,140.716,139.571
7,145.103,139.311,139.844,140.716,139.324
8,145.103,139.086,139.832,140.716,139.286
9,145.103,139.086,139.66,140.121,139.286
10,145.103,139.086,139.66,140.121,139.286
11,145.103,139.086,139.32,140.082,139.286
12,145.103,139.086,139.32,140.082,139.286
13,145.103,139.086,139.32,140.082,139.286
14,139.649,139.086,139.32,140.082,139.286
15,139.616,139.086,139.32,140.082,139.286
16,139.616,139.086,139.32,140.082,139.286
17,139.616,139.086,139.32,140.082,139.286
18,139.595,139.086,139.299,140.082,139.286
19,139.472,139.086,139.299,140.082,139.286
20,139.472,139.086,139.299,140.082,139.286
21,139.472,139.086,139.299,140.082,139.286
22,139.472,139.086,139.299,140.082,139.286
23,139.472,139.086,139.299,139.676,139.286
24,139.472,139.086,139.299,139.614,139.286
25,139.472,139.086,139.299,139.614,139.286
26,139.472,139.086,139.299,139.614,139.286
27,139.472,139.086,139.299,139.614,139.286
28,139.472,139.086,139.299,139.614,139.286
29,139.472,139.086,139.299,139.614,139.286
30,139.472,139.086,139.299,139.614,139.286
31,139.472,139.086,139.299,139.614,139.286
32,139.472,139.086,139.299,139.614,114.562
33,139.472,139.086,139.299,139.614,114.562
34,139.472,139.086,139.299,139.614,114.562
35,139.472,139.086,139.299,139.614,109.085
36,139.472,139.086,139.299,139.614,109.085
37,139.472,139.086,139.299,139.614,109.085
38,139.472,139.086,139.299,139.614,109.085
39,139.472,139.086,139.299,139.614,109.085
40,139.472,139.086,139.299,139.614,109.085
41,139.472,139.086,139.299,139.614,109.085
42,139.441,139.086,139.299,139.614,109.085
43,139.441,139.086,139.299,139.519,109.085
44,139.441,139.086,139.299,139.519,109.085
45,139.441,139.086,139.299,139.519,109.085
46,139.441,139.086,139.299,139.519,109.085
47,139.441,139.086,139.299,139.519,109.085
48,139.441,139.086,139.299,139.519,109.085
49,139.441,139.086,139.299,139.519,109.085
50,139.441,139.086,139.299,139.519,109.085
51,139.441,139.086,139.299,139.519,109.085
52,139.441,139.086,139.299,139.519,109.085
53,139.441,139.086,139.299,139.519,109.085
54,139.441,139.086,139.299,139.519,109.085
