iteration,round_1,round_2,round_3,round_4,round_5
1,11.9,12.072,12.169,11.891,12.896
2,11.9,12.072,11.899,11.891,12.179
3,11.9,12.072,11.876,11.891,12.179
4,11.9,11.3,11.876,11.891,11.85
5,11.9,11.3,11.876,11.891,11.85
6,11.9,11.3,11.876,11.891,11.85
7,11.9,11.3,11.876,11.891,11.85
8,11.854,11.3,11.846,11.891,11.85
9,11.854,11.3,11.846,11.891,11.85
10,11.81,11.3,11.846,11.863,11.85
11,11.81,11.3,11.846,11.863,11.7
12,11.81,11.3,11.846,11.863,11.7
13,11.81,11.3,11.846,11.863,11.7
14,11.81,11.3,11.846,11.863,11.7
15,11.81,11.3,11.846,11.863,11.7
16,11.81,11.3,11.846,11.863,11.7
17,11.56,11.3,11.846,11.863,11.7
18,11.56,11.3,11.846,11.863,11.7
19,11.56,11.3,11.846,11.863,11.7
20,11.56,11.3,11.846,11.863,11.7
21,11.56,11.3,11.846,11.863,11.7
22,11.56,11.3,11.846,11.557,11.7
23,11.56,11.3,11.846,11.557,11.7
24,11.56,11.3,11.846,11.557,11.7
25,11.326,11.3,11.846,11.557,11.7
26,11.326,11.3,11.846,11.557,11.7
27,11.326,11.3,11.846,11.557,11.7
28,11.326,11.3,11.846,11.557,11.7
29,11.326,11.3,11.846,11.557,11.7
30,11.326,11.3,11.778,11.557,11.7
31,11.326,11.3,11.778,11.557,11.7
32,11.326,11.3,11.778,11.557,11.7
33,11.326,11.3,11.778,11.557,11.7
34,11.326,11.3,11.778,11.557,11.7
35,11.326,11.3,11.778,11.557,11.7
36,11.326,11.3,11.778,11.557,11.7
37,11.326,11.3,11.778,11.557,11.7
38,11.326,11.3,11.778,11.557,11.7
39,11.326,11.3,11.778,11.557,11.7
40,11.326,11.3,11.778,11.557,11.7
41,11.326,11.3,11.778,11.557,11.684
42,11.326,11.3,11.778,11.557,11.684
43,11.326,11.3,11.778,11.557,11.684
44,11.326,11.3,11.778,11.557,11.684
45,11.326,11.3,11.778,11.557,11.684
46,11.326,11.3,11.778,11.557,11.684
47,11.326,11.3,11.778,11.557,11.49
48,11.326,11.3,11.778,11.557,11.49
49,11.326,11.3,11.778,11.557,11.49
50,11.326,11.3,11.778,11.557,11.49
51,11.326,11.3,11.778,11.557,11.49
52,11.326,11.3,11.778,11.557,11.49
53,11.326,11.3,11.778,11.557,11.49
54,11.326,11.3,11.778,11.557,11.49
55,11.326,11.3,11.778,11.557,11.49
56,11.326,11.3,11.778,11.557,11.49
57,11.326,11.3,11.778,11.557,11.49
58,11.326,11.3,11.395,11.557,11.49
59,11.326,11.3,11.395,11.557,11.49
60,11.326,11.3,11.395,11.557,11.49
61,11.326,11.3,11.395,11.557,11.49
62,11.326,11.3,11.395,11.557,11.49
63,11.326,11.3,11.395,11.557,11.49
64,11.326,11.3,11.395,11.53,11.49
65,11.326,11.3,11.395,11.53,11.49
66,11.326,11.3,11.395,11.53,11.49
67,11.326,11.3,11.395,11.53,11.49
